PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Donte DiVincenzo,SAC,25,42,21,21,23.9,107.5,111.2,-3.7,16.7,1.64,21.0,3.9,12.5,8.2,12.8,46.1,51.0,18.7,102.79,8.0,2155,4675830.0,130457848.0,3.6
Davion Mitchell,SAC,23,75,28,47,27.7,105.3,111.3,-6.0,23.5,2.75,24.0,1.5,6.2,3.8,8.7,47.7,48.9,20.2,100.85,7.4,4356,4603200.0,130457848.0,3.5
Alex Len,SAC,28,39,17,22,15.9,106.0,111.4,-5.5,10.4,1.05,15.4,7.6,16.8,12.1,14.7,55.1,57.7,16.5,102.74,7.4,1326,3732000.0,130457848.0,2.9
Josh Jackson,SAC,25,51,12,39,16.3,103.6,112.2,-8.6,10.5,1.15,12.5,2.5,14.9,8.5,10.9,45.5,49.1,19.6,100.34,6.6,1732,5005350.0,130457848.0,3.8
Justin Holiday,SAC,33,74,25,49,27.8,108.8,113.9,-5.1,8.6,1.83,14.4,1.4,8.0,4.6,7.9,52.8,54.3,15.6,100.27,5.7,4302,6006420.0,130457848.0,4.6
Trae Young,ATL,23,76,40,36,34.9,117.2,114.9,2.3,44.2,2.43,26.1,1.9,8.7,5.3,10.7,53.6,60.3,33.3,100.20,16.1,5550,8326471.0,135166020.0,6.2
Clint Capela,ATL,28,74,40,34,27.6,116.6,113.3,3.3,6.2,2.09,11.3,13.3,28.4,20.8,5.4,61.3,60.4,14.9,100.22,13.3,4257,17603448.0,135166020.0,13.0
John Collins,ATL,24,54,26,28,30.8,113.5,112.7,0.8,8.8,1.63,11.2,5.6,19.0,12.4,6.8,57.6,61.0,20.2,98.71,11.9,3423,23000000.0,135166020.0,17.0
Gorgui Dieng,ATL,32,44,23,21,8.4,100.3,109.5,-9.2,15.5,1.70,19.2,8.3,23.8,16.0,11.3,60.3,62.4,16.4,100.22,11.8,779,4000000.0,135166020.0,3.0
Onyeka Okongwu,ATL,21,48,26,22,20.7,114.6,109.1,5.5,7.8,1.20,14.4,11.7,16.3,14.1,11.9,69.0,71.4,13.7,98.92,10.9,2043,6104280.0,135166020.0,4.5
